id;class_name;description
1;Corporate;Colorado THX compress
2;Borders Assistant Mission;cyan National Cross-platform
3;firewall Granite Home;TCP
4;ivory payment Bedfordshire;ivory generating 1080p
5;Handmade Concrete Fish Qatar neural;ivory synthesize Right-sized
6;Ergonomic Wooden Chair productize;port bi-directional payment
7;TCP Liaison Radial;Investor Jewelery Monaco
8;collaboration Supervisor Hat;Knoll Engineer
9;Marketing Central Cambridgeshire;Liaison virtual Home Loan Account
10;circuit contingency 1080p;engineer Berkshire Switchable
