id;video_link;conceptname;schedule_time
1;haptic Alaska Cheese;Assurance;2021-02-27T00:12:19
2;Managed Electronics;bricks-and-clicks;2021-02-27T05:43:01
3;Ergonomic Granite Pizza Direct redundant;application orange;2021-02-27T05:56:27
4;Licensed Metal Chicken Orchestrator deposit;Global global;2021-02-27T02:19:32
5;card sky blue;Upgradable encoding Berkshire;2021-02-27T00:33:28
6;mindshare Team-oriented Corporate;open system Investment Account neural;2021-02-27T05:29:48
7;vortals Reunion;copying;2021-02-27T01:14:00
8;system engine;Metal multi-byte Engineer;2021-02-26T09:32:59
9;encryption visualize scalable;solutions deposit methodology;2021-02-26T16:21:51
10;neural wireless Chips;Games;2021-02-26T21:14:14
