id;folder_name;folder_description;foldertype
1;Point;Accountability Licensed Wooden Shirt;VIDEOS
2;Oman Paradigm bypassing;Savings Account Avon;OTHERS
3;District background Intelligent;Chief Borders architectures;OTHERS
4;Configurable Frozen Liaison;New Mexico overriding Algeria;OTHERS
5;Arizona 1080p;reboot;ASSIGNMENTS
6;Liberian Dollar microchip Security;programming Future;ASSIGNMENTS
7;Incredible Fresh Car Wooden;protocol incentivize Functionality;ASSIGNMENTS
8;local Knoll Awesome;interface;VIDEOS
9;connecting;driver;VIDEOS
10;Auto Loan Account;Grocery Gorgeous;OTHERS
